zipcode,rate
85003,200.00
85004,200.00
85006,200.00
85007,200.00
85008,200.00
85009,200.00
85012,200.00
85013,200.00
85014,200.00
85015,200.00
85016,200.00
85018,200.00
85021,200.00
85022,200.00
85023,200.00
85029,200.00
85031,200.00
85032,200.00
85034,200.00
85040,200.00
85042,200.00
85043,200.00
85044,200.00
85045,200.00
85281,200.00
85282,200.00
85283,200.00
85284,200.00
85287,200.00
85138,250.00
85139,250.00
85140,250.00
85142,250.00
85143,250.00
86401,850.00
86402,850.00
86409,850.00
85250,250.00
85251,250.00
85254,250.00
85255,250.00
85256,250.00
85257,250.00
85258,250.00
85259,250.00
85260,250.00
85301,250.00
85302,250.00
85303,250.00
85304,250.00
85305,250.00
85306,250.00
85307,250.00
85308,250.00
85309,250.00
85310,250.00
85253,250.00
85017,250.00
85019,250.00
85020,250.00
85024,250.00
85028,250.00
85033,250.00
85035,250.00
85039,250.00
85041,250.00
85122,275.00
85130,275.00
85193,275.00
85194,275.00
85613,750.00
85615,750.00
85616,750.00
85635,750.00
85636,750.00
85650,750.00
85670,750.00
85224,225.00
85225,225.00
85226,225.00
85248,225.00
85249,225.00
85286,225.00
85027,225.00
85046,225.00
85048,225.00
85050,225.00
85051,225.00
85053,225.00
85054,225.00
85060,225.00
85065,225.00
85080,225.00
85201,225.00
85202,225.00
85203,225.00
85204,225.00
85205,225.00
85206,225.00
85207,225.00
85208,225.00
85209,225.00
85210,225.00
85213,225.00
85215,225.00
85603,800.00
85614,600.00
85622,600.00
85337,400.00
85364,675.00
85349,750.00
85323,225.00
85392,225.00
85335,225.00
85233,250.00
85234,250.00
85295,250.00
85296,250.00
85297,250.00
85298,250.00
85338,350.00
85395,350.00
85340,300.00
85242,250.00
85345,250.00
85381,250.00
85382,250.00
85236,250.00
85351,250.00
85373,250.00
85379,250.00
85387,250.00
85376,250.00
85378,250.00
85388,250.00
85374,250.00
86301,450.00
86303,450.00
86304,450.00
86313,450.00
86001,650.00
85309,250.00
85355,250.00
85363,250.00
85353,250.00
85037,250.00
85039,250.00
85212,250.00
85607,750.00
85608,750.00
85655,750.00
85641,425.00
85701,425.00
85702,425.00
85703,425.00
85704,425.00
85705,425.00
85706,425.00
85707,425.00
85708,425.00
85709,425.00
85710,425.00
85714,425.00
85723,425.00
85726,425.00
85730,425.00
85745,425.00
85756,425.00
85775,425.00
85621,675.00